流星群の名前												
	年月日				アラーム時間			アラームのタイミング				でもようです
デモ用流星群	2018年	2月	21日		18:50			デモ用				でもようです
	2018年	2月	28日		18:50			デモ用				でもようです
	2018年	3月	3日		？？？			デモ用				でもようです
												
こと座流星群	2018年	4月	16日		7:30	20:00		流星群の1週間前				ことしのことざりゅうせいぐんは、かんそくじょうけんがここすうねんで
	2018年	4月	21日		7:30	20:00		流星群の1日前				こうじょうけんにめぐまれていますだだし、しゅつげんすうはあまりおおく
	2018年	4月	22日		7:30	20:00		当日				ないため、たいしたかずはみれないでしょうぴーくのじかんは23じです
	2018年	4月	22日		23:00			ピーク				ほうがくは、どこからでもみれるでしょう
												
みずがめ座η流星群	2018年	4月	29日		7:30	20:00		流星群の1週間前				みずがめざりゅうせいぐんは、みなみはんきゅうでは
	2018年	5月	4日		7:30	20:00		流星群の1日前				きたはんきゅうでいうぺるせうすざりゅうせいぐんなみの
	2018年	5月	5日		7:30	20:00		1日目				ねんかんさいだいりゅうせいぐんです
	2018年	5月	6日		0:00			ピーク				ことしはにほんではかんそくじょうけんはあまりよくない。
	2018年	5月	6日		7:30	20:00		2日目				ぴーくのじかんはひにちがかわるたいみんぐです
	2018年	5月	7日		0:00			ピーク				ほうがくは、どこからでもかまわながつきがないほうこうがみやすい
												
うしかい座流星群	2018年	6月	20日		7:30	20:00		流星群の1週間前				うしかいざりゅうせいぐんは１９９８ねんからにほんでよくみられており
	2018年	6月	26日		7:30	20:00		流星群の1日前				だがにほんは６がつはうきなためてんこうでみれないこともおおい
	2018年	6月	27日		7:30	20:00		当日				ぴーくのじかんは1じです
	2018年	6月	28日		1:00			ピーク				ほうがくは、なんなんせいにみえるでしょう
												
みずがめ座δ流星群	2018年	7月	21日		7:30	20:00		流星群の1週間前				みずかめざりゅうせいぐんは、とてもふくざつなこうぞうで４つのぐんで
	2018年	7月	27日		7:30	20:00		流星群の1日前				なりたっています
	2018年	7月	28日		7:30	20:00		当日				ぴーくは21じです
	2018年	7月	28日		21:00			ピーク				ほうがくはどこでもかまわないがつきのはんたいがわがみやすいでしょう
												
やぎ座α流星群	2018年	7月	24日		7:30	20:00		流星群の1週間前				やぎざりゅうせいぐんは１じかんあたりに３から５こほどしか
	2018年	7月	30日		7:30	20:00		流星群の1日前				みれないやぎざりゅうせいぐんは、たいちそくどがおそいためおおくみれない
	2018年	7月	31日		7:30	20:00		当日				ぴーくじかんはとくになくしゅつげんきかんないならみれる
	2018年	7月	31日		？？？			ピーク				ほうがくはとくになくしんげつのためよくみえる
												
ペルセウス座流星群	2018年	8月	5日		7:30	20:00		流星群の1週間前				ぺるせうすりゅうせいぐんは、なつのふうぶつしでもある
	2018年	8月	10日		7:30	20:00		流星群の1日前				だがこんかいはやぎざりゅうせいぐんとかぶっておりどちらのりゅうせいかわからない
	2018年	8月	11日		7:30	20:00		1日目				ぴーくじかんはとくになくあさまでみれるでしょう
	2018年	8月	12日		0:00			ピーク				ほうがくはどこからでもみれる
	2018年	8月	12日		7:30	20:00		2日目				
	2018年	8月	13日		0:00			ピーク				
												
オリオン座流星群	2018年	10月	15日		7:30	20:00		流星群の1週間前				おりおんざりゅうせいぐんは、はれーすいせいをぼてんたいとするりゅうせいぐん
	2018年	10月	20日		7:30	20:00		流星群の1日前				
	2018年	10月	21日		7:30	20:00		1日目				ぴーくじかんはよるからあさがたまでです
	2018年	10月	22日		0:00			ピーク				ほうがくはどこからでもみれるでしょう
	2018年	10月	22日		7:30	20:00		2日目				
	2018年	10月	23日		0:00			ピーク				
												
しし座流星群	2018年	11月	10日		7:30	20:00		流星群の1週間前				ししざりゅうせいぐんは、2001ねんに１じかんでにせんこの流星をみせた
	2018年	11月	16日		7:30	20:00		流星群の1日前				おおきなりゅうせいぐんです
	2018年	11月	17日		7:30	20:00		当日				ぴーくじかんはあさがたにみやすいでしょう
	2018年	11月	18日		7:00			ピーク				ほうがくはどこからでもみれるでしょう
												
ふたご座流星群	2018年	12月	6日		7:30	20:00		流星群の1週間前				ふたござりゅうせいぐんは３だいりゅうせいぐんの１つで
	2018年	12月	12日		7:30	20:00		流星群の1日前				ねんかんさいだいしゅつげんをほぼ１ばんちゅうにみれるでしょう
	2018年	12月	13日		7:30	20:00		1日目				ぴーくじかんは１にちじゅうみれるでしょう
	2018年	12月	13日		21:00			ピーク				ほうがくはどこからでもみれるためてんきがよければかんさつできます
	2018年	12月	14日		7:30	20:00		2日目				
	2018年	12月	14日		21:00			ピーク				
												
こぐま座流星群	2018年	12月	15日		7:30	20:00		流星群の1週間前				こぐまざりゅうせいぐんは、１ねんをしめくくるりゅうせいぐんです
	2018年	12月	21日		7:30	20:00		流星群の1日前				２４じかんしずまないためひとばんちゅうみれる
	2018年	12月	22日		7:30	20:00		当日				ぴーくじかんはよるからあさがたまでです
	2018年	12月	22日		18:00			ピーク				ほうがくはどこからでもみれるでしょう
	2018年	12月	23日		6:00			ピーク				
